label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
aa,0.2306946201122142,0.08509255513552602,-0.16621957863700831,-0.018019527799370987,0.0003913538154472079,-0.030198744722654165,-0.08776941377848224,-0.006084955625669494,-0.018270148316355067,-0.06028551724128007,-0.05326857738725367,0.1326123978288703,0.015452675270400541,0.0006696351957450925,-0.03806672635312078,0.01925303453324377,-0.042042468644504685,0.032566730675067025,-0.037840946491733043,0.007148448507389532,-0.0225091434965893,-0.01874329966545016,0.029162552856879933,-0.0570296770007553,0.010375111002999959,0.011015152129669057,0.0024870468880928017,-0.00876219970630261,-0.031682562900929245,-0.007422854155328187
em,0.28572638429196456,-0.026819474532286485,-0.28129881455724487,0.017266085423276695,0.0057057322524777946,0.7780380620046528,0.227605463291545,-0.030395192171329688,0.04577259977180953,-0.014186222052824413,-0.06023541947865556,-0.010962868944794264,0.02030942487341073,0.01786638014534008,-0.017812800851771098,-0.022040016077773738,-0.07352385474780898,0.023652535605433768,0.03862874723573916,-0.0030864782089478375,-0.017422124542438393,0.0019107795223530038,-0.041128276874343984,0.008974707283518015,0.01713367648215124,0.010612683095056598,-0.007740060849198295,0.0108828904662318,0.010657262606131134,0.00480184613093699
ch,0.32416027292651073,-0.1526526656387287,0.07830005871128887,0.016323866932758595,-0.023077486416249793,-0.01400576599007403,-0.049674237655177284,0.012742790323613652,-0.015279629626662036,-0.03641563903819007,-0.11439994327155503,0.11229277323814796,0.032244641091989684,-0.024290945665764018,-0.09509960578550844,0.00018438511848443078,-0.01234779312627403,-0.03259705788293874,0.007271975902857632,0.012803236806842089,0.0488330261803544,0.011307301907674235,-0.011342849994030325,0.010086017830030184,0.08356190931094207,0.014551159052714127,-0.002350917280013862,-0.016858454442642612,-0.017620883993198163,-0.006737744886255427
zh,0.2958867959195674,-0.148172956622373,0.12365762383542547,0.015226225916541925,0.04430187978878237,-0.03465544768112981,-0.03812281798020691,-0.03595613088982763,0.05876393328930719,0.02494587260841753,-0.07279555430852355,0.0011261222699850964,-0.0594047875456998,-0.015655529309376484,-0.04459739618234556,0.02423291062370562,-0.06369517710609217,-0.052273092631940986,0.0378281032929515,0.02307203617544106,0.04631719563450637,-0.09246848703278536,0.014216797783011713,-0.010858762681437015,0.04517707207235685,-0.027824643659053856,0.003815003018985343,0.074083506799321,0.04914095254044974,-0.057666174307214386
eh,0.21949544383375177,0.058981293377537665,-0.19496230622074998,-0.038297867588355135,0.025940240475408712,-0.029476748079467256,-0.11523807140704186,-0.00567293794442478,-0.01368656419981814,-0.09447172861722922,-0.058825819121621624,0.1394765280302635,-0.020880118493742127,-0.04402694820369812,0.061348664371436955,-0.03951720315103079,-0.0738706913336659,-0.022968105527210667,-0.05836920700701038,-0.01363853766872574,0.02786355319918237,0.017529425937693525,0.0018340384666507437,-0.0222473310493663,-0.06742491534781837,-0.01599315624719354,0.037708092569580756,-0.00026844987444949863,-0.005766794283871318,0.00220089574795713
el,0.25368609600888825,0.1336806697310072,-0.07571282098191814,0.14899203525263216,0.04330608130735463,-0.0033892132823036534,0.0351220562836888,0.013066557005086485,-0.042163310717734645,-0.10180784800185258,-0.03336493354951681,-0.09060435731511958,-0.04097440523986356,0.09805735078525846,-0.0038786731155989406,0.006903589211802218,0.11703497978986155,0.028126693433171743,0.12113498959994815,0.13662166254832336,0.004506591499609723,-0.025913009420128495,-0.00950352241407144,0.0018573136662358965,-0.062149299693507964,0.015343525774524918,0.08266626604651502,-0.10459106132031487,-0.10664827324609889,-0.06828018573924186
tq,0.2858031559745581,-0.09238335947275168,0.04519536164629298,0.007632107730072957,0.21957482699417352,0.07831767009884777,0.07314022093186097,-0.0031951919318179397,-0.131035948434922,-0.027840350793874896,-0.07169175375584615,-0.07120065942696018,0.041436030796054533,-0.05730275244829315,-0.06810313802779949,0.006050505116728577,0.09897767994151381,-0.024465391262084253,-0.09110336163293668,0.015011304766364246,0.09523401223721557,-0.05060838902596909,0.10896378372618132,0.024154214411177016,-0.04934991240731317,-0.00639884038460415,-0.009999701122263253,0.008969165955881538,0.011524931415993632,-0.04527761292314028
ahn,0.2565874047415924,0.09025523635457268,-0.10291618578287624,-0.07437599369812924,0.00041553501644836147,-0.044810926535884824,-0.0006617561290298987,-0.031230944801002015,-0.04067364759371368,0.01742425653505975,0.0323485048319134,-0.04581995208488033,0.0343884986237481,0.07623593774389703,0.01682234963963551,-0.01040226418155146,-0.07698365289665171,-0.018321651139617475,-0.01534006078322321,-0.017243545070588874,0.037042073188848244,0.03211415963233768,-0.0076452961146946784,0.024899717510274453,-0.023928263045977144,0.025616516262417444,-0.009514833237367492,0.00851643636825173,0.013091474026494763,0.007778809654756776
ao,0.21890573251168827,0.018659191998595274,-0.18209496821374888,-0.026155804314283198,-0.0024327865470688227,-0.058739519675921156,-0.14939211824077878,0.01631836805944543,-0.03438961370148528,-0.09284926105802463,-0.1773866034369779,0.242789542390656,0.1734393676761827,0.04504350666012687,-0.07813285876999758,0.09235388347854774,-0.05821531997519698,0.05766831850217909,0.07674845191539459,0.07485788241089414,-0.07262161528811024,-0.028880409639482085,0.01493420979295509,0.02501258023461605,-0.04455897303352948,0.02099763225321488,-0.03036633943376357,0.004882758764658029,-0.0023121239780436124,-0.006115314848662127
ih,0.1953799113946253,0.06492317028074268,-0.18120102052566764,-0.03362902256259531,0.04257931644456387,-0.05084835810871816,-0.07253335464518797,-0.007575660521918602,-0.001902732064488056,-0.0222542638246768,0.02077674125254391,0.02770305500915792,-0.03240834995581601,-0.04483174448281165,0.0569265484070313,-0.05177225169789256,-0.01563704835879621,-0.029309402349474357,0.011920609299702987,-0.013713166062905747,0.0006395027243764326,0.009044666475998673,-0.022162910006866255,0.03700059334943882,-0.03162777073340524,-0.007967969365438763,0.0007556794594706931,0.027914703860384013,0.032650496841702514,0.00139724594662037
